"Id","Age","Gen","Job","Edu","Duration","Man","NF_N1","NF_N2","Prob","Sol_Time","Scr","response","Adv","BR","HR","FAR","true_posterior"
353,32,2,1,4,100,"Frequency",8000,10000,NA,71.935,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
354,31,3,3,3,290,"Frequency",80,278,NA,220.279,1,0.29,0,0.01,0.8,0.02,0.287769784172662
355,64,2,9,3,273,"Probability",NA,NA,78,66.56,0,0.78,49.22302158,0.01,0.8,0.02,0.287769784172662
356,55,1,9,2,164,"Frequency",80,10000,NA,79.577,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
357,42,2,1,3,111,"Frequency",80,278,NA,77.638,1,0.29,0,0.01,0.8,0.02,0.287769784172662
359,29,2,2,3,215,"Frequency",1,100,NA,94.564,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
361,52,2,7,3,141,"Probability",NA,NA,80,90.052,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
362,50,1,7,4,592,"Probability",NA,NA,78,535.004,0,0.78,49.22302158,0.01,0.8,0.02,0.287769784172662
365,57,1,1,2,286,"Frequency",80,278,NA,196.914,1,0.29,0,0.01,0.8,0.02,0.287769784172662
368,60,2,1,3,157,"Probability",NA,NA,50,90.371,0,0.5,21.22302158,0.01,0.8,0.02,0.287769784172662
369,25,1,1,3,126,"Probability",NA,NA,82,85.921,0,0.82,53.22302158,0.01,0.8,0.02,0.287769784172662
370,52,2,9,3,172,"Frequency",80,10000,NA,75.271,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
371,40,2,2,2,239,"Frequency",278,278,NA,179.333,0,1,71.22302158,0.01,0.8,0.02,0.287769784172662
372,59,1,10,3,246,"Probability",NA,NA,90,163.905,0,0.9,61.22302158,0.01,0.8,0.02,0.287769784172662
373,30,2,1,2,168,"Frequency",80,10000,NA,82.892,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
374,44,2,3,2,392,"Probability",NA,NA,80,270.48,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
375,56,2,8,2,202,"Probability",NA,NA,2.8,124.316,0,0.03,25.97697842,0.01,0.8,0.02,0.287769784172662
377,59,2,2,2,180,"Probability",NA,NA,80,96.19,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
378,36,2,9,2,196,"Probability",NA,NA,2,131.806,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
380,36,1,1,4,191,"Frequency",100,278,NA,161.321,0,0.36,7.194244604,0.01,0.8,0.02,0.287769784172662
383,32,2,3,3,144,"Probability",NA,NA,80,67.233,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
384,38,2,1,2,195,"Probability",NA,NA,100,126.209,0,1,71.22302158,0.01,0.8,0.02,0.287769784172662
385,43,2,10,3,98,"Frequency",3,100,NA,64.297,0,0.03,25.77697842,0.01,0.8,0.02,0.287769784172662
387,72,1,1,4,151,"Frequency",278,19900,NA,83.885,0,0.01,27.37999349,0.01,0.8,0.02,0.287769784172662
389,36,2,3,4,112,"Frequency",2,100,NA,62.553,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
392,41,1,1,2,201,"Probability",NA,NA,80,97.456,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
393,65,1,1,3,131,"Probability",NA,NA,1,70.61,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
394,29,1,1,4,98,"Probability",NA,NA,4,60.703,0,0.04,24.77697842,0.01,0.8,0.02,0.287769784172662
395,28,3,10,3,117,"Probability",NA,NA,30,66.702,0,0.3,1.223021583,0.01,0.8,0.02,0.287769784172662
398,26,1,3,3,717,"Probability",NA,NA,80,609.691,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
399,64,2,10,3,336,"Probability",NA,NA,0.8,120.041,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
400,29,2,10,4,131,"Probability",NA,NA,78.4,81.197,0,0.78,49.62302158,0.01,0.8,0.02,0.287769784172662
401,62,2,1,2,245,"Frequency",80,100,NA,183.123,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
402,42,1,1,3,123,"Probability",NA,NA,40,64.795,0,0.4,11.22302158,0.01,0.8,0.02,0.287769784172662
403,67,2,8,2,330,"Frequency",3,278,NA,215.049,0,0.01,27.69784173,0.01,0.8,0.02,0.287769784172662
405,28,2,1,2,118,"Frequency",100,1000,NA,59.906,0,0.1,18.77697842,0.01,0.8,0.02,0.287769784172662
406,33,2,1,3,105,"Probability",NA,NA,2,52.376,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
407,46,1,5,2,221,"Frequency",10,100,NA,147.47,0,0.1,18.77697842,0.01,0.8,0.02,0.287769784172662
408,26,2,1,3,564,"Probability",NA,NA,0.2,536.414,0,0,28.57697842,0.01,0.8,0.02,0.287769784172662
409,53,1,10,2,227,"Frequency",240,9100,NA,176.57,0,0.03,26.13961578,0.01,0.8,0.02,0.287769784172662
410,46,2,3,2,352,"Frequency",278,10000,NA,224.724,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
411,48,1,2,3,157,"Probability",NA,NA,78,109.819,0,0.78,49.22302158,0.01,0.8,0.02,0.287769784172662
413,46,1,1,4,328,"Probability",NA,NA,79,139.541,0,0.79,50.22302158,0.01,0.8,0.02,0.287769784172662
414,34,1,7,3,167,"Frequency",80,100,NA,37.883,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
415,53,1,1,3,235,"Frequency",100,278,NA,167.861,0,0.36,7.194244604,0.01,0.8,0.02,0.287769784172662
416,31,2,1,3,106,"Frequency",80,9900,NA,57.826,0,0.01,27.96889761,0.01,0.8,0.02,0.287769784172662
418,38,2,10,4,184,"Probability",NA,NA,40,122.901,0,0.4,11.22302158,0.01,0.8,0.02,0.287769784172662
421,37,1,7,3,189,"Probability",NA,NA,32,147.868,0,0.32,3.223021583,0.01,0.8,0.02,0.287769784172662
423,30,1,3,3,81,"Probability",NA,NA,0.3,34.603,0,0,28.47697842,0.01,0.8,0.02,0.287769784172662
425,41,1,1,4,338,"Frequency",158,198,NA,93.997,0,0.8,51.02100138,0.01,0.8,0.02,0.287769784172662
426,53,1,5,2,188,"Probability",NA,NA,80,95.743,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
427,31,1,10,3,139,"Probability",NA,NA,80,95.95,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
428,43,1,7,3,165,"Probability",NA,NA,80,86.246,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
429,31,1,1,5,174,"Probability",NA,NA,20,115.401,0,0.2,8.776978417,0.01,0.8,0.02,0.287769784172662
431,60,1,8,4,138,"Probability",NA,NA,0.8,73.062,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
432,30,1,10,3,54,"Probability",NA,NA,1,26.789,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
434,65,2,8,3,261,"Probability",NA,NA,80,129.857,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
435,31,1,10,3,212,"Frequency",100,10000,NA,128.731,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
437,44,1,1,2,103,"Frequency",198,9900,NA,60.672,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
439,41,1,10,2,145,"Probability",NA,NA,0.5,46.84,0,0,28.27697842,0.01,0.8,0.02,0.287769784172662
