"subject","br","hr","far","true_posterior","response","presentation_format","format","condition","trial"
4,0.3,0.7,0.3,0.5,0.5,"Symbolic","frequency","symbolic_natural",14
4,0.3,0.7,0.5,0.375,0.56,"Symbolic","frequency","symbolic_natural",15
4,0.3,0.9,0.1,0.7941,0.76,"Symbolic","frequency","symbolic_natural",16
4,0.3,0.9,0.3,0.5625,0.78,"Symbolic","frequency","symbolic_natural",17
4,0.3,0.9,0.5,0.4355,0.41,"Symbolic","frequency","symbolic_natural",18
4,0.5,0.5,0.1,0.8333,0.8,"Symbolic","frequency","symbolic_natural",19
4,0.5,0.5,0.3,0.625,0.6,"Symbolic","frequency","symbolic_natural",20
4,0.5,0.5,0.5,0.5,0.5,"Symbolic","frequency","symbolic_natural",21
4,0.5,0.7,0.1,0.875,0.8,"Symbolic","frequency","symbolic_natural",22
4,0.5,0.7,0.3,0.7,0.57,"Symbolic","frequency","symbolic_natural",23
4,0.5,0.7,0.5,0.5833,0.71,"Symbolic","frequency","symbolic_natural",24
4,0.5,0.9,0.1,0.9,0.89,"Symbolic","frequency","symbolic_natural",25
4,0.5,0.9,0.3,0.75,0.66,"Symbolic","frequency","symbolic_natural",26
4,0.5,0.9,0.5,0.6429,0.45,"Symbolic","frequency","symbolic_natural",27
4,0.7,0.5,0.1,0.9211,0.89,"Symbolic","frequency","symbolic_natural",28
4,0.7,0.5,0.3,0.7955,0.75,"Symbolic","frequency","symbolic_natural",29
4,0.7,0.5,0.5,0.7,0.46,"Symbolic","frequency","symbolic_natural",30
4,0.7,0.7,0.1,0.9423,0.93,"Symbolic","frequency","symbolic_natural",31
4,0.7,0.7,0.3,0.8448,0.72,"Symbolic","frequency","symbolic_natural",32
4,0.7,0.7,0.5,0.7656,0.68,"Symbolic","frequency","symbolic_natural",33
4,0.7,0.9,0.1,0.9545,0.95,"Symbolic","frequency","symbolic_natural",34
4,0.7,0.9,0.3,0.875,0.85,"Symbolic","frequency","symbolic_natural",35
4,0.7,0.9,0.5,0.8077,0.76,"Symbolic","frequency","symbolic_natural",36
4,0.9,0.5,0.1,0.9783,0.97,"Symbolic","frequency","symbolic_natural",37
4,0.9,0.5,0.3,0.9375,0.92,"Symbolic","frequency","symbolic_natural",38
4,0.9,0.5,0.5,0.9,0.9,"Symbolic","frequency","symbolic_natural",39
4,0.9,0.7,0.1,0.9844,0.97,"Symbolic","frequency","symbolic_natural",40
4,0.9,0.7,0.3,0.9545,0.96,"Symbolic","frequency","symbolic_natural",41
4,0.9,0.7,0.5,0.9265,0.92,"Symbolic","frequency","symbolic_natural",42
4,0.9,0.9,0.1,0.9878,0.98,"Symbolic","frequency","symbolic_natural",43
4,0.9,0.9,0.3,0.9643,0.96,"Symbolic","frequency","symbolic_natural",44
4,0.9,0.9,0.5,0.9419,0.87,"Symbolic","frequency","symbolic_natural",45
5,0.1,0.5,0.1,0.3571,0.66,"Symbolic","frequency","symbolic_natural",1
5,0.1,0.5,0.3,0.1562,0.43,"Symbolic","frequency","symbolic_natural",2
5,0.1,0.5,0.5,0.1,0.54,"Symbolic","frequency","symbolic_natural",3
5,0.1,0.7,0.1,0.4375,0.75,"Symbolic","frequency","symbolic_natural",4
5,0.1,0.7,0.3,0.2059,0.55,"Symbolic","frequency","symbolic_natural",5
5,0.1,0.7,0.5,0.1346,0.52,"Symbolic","frequency","symbolic_natural",6
5,0.1,0.9,0.1,0.5,0.9,"Symbolic","frequency","symbolic_natural",7
5,0.1,0.9,0.3,0.25,0.33,"Symbolic","frequency","symbolic_natural",8
5,0.1,0.9,0.5,0.1667,0.8,"Symbolic","frequency","symbolic_natural",9
5,0.3,0.5,0.1,0.6818,0.15,"Symbolic","frequency","symbolic_natural",10
5,0.3,0.5,0.3,0.4167,0.46,"Symbolic","frequency","symbolic_natural",11
5,0.3,0.5,0.5,0.3,0.22,"Symbolic","frequency","symbolic_natural",12
5,0.3,0.7,0.1,0.75,0.28,"Symbolic","frequency","symbolic_natural",13
5,0.3,0.7,0.3,0.5,0.48,"Symbolic","frequency","symbolic_natural",14
5,0.3,0.7,0.5,0.375,0.2,"Symbolic","frequency","symbolic_natural",15
5,0.3,0.9,0.1,0.7941,0.27,"Symbolic","frequency","symbolic_natural",16
5,0.3,0.9,0.3,0.5625,0.74,"Symbolic","frequency","symbolic_natural",17
5,0.3,0.9,0.5,0.4355,0.35,"Symbolic","frequency","symbolic_natural",18
5,0.5,0.5,0.1,0.8333,0.58,"Symbolic","frequency","symbolic_natural",19
5,0.5,0.5,0.3,0.625,0.56,"Symbolic","frequency","symbolic_natural",20
5,0.5,0.5,0.5,0.5,0.5,"Symbolic","frequency","symbolic_natural",21
5,0.5,0.7,0.1,0.875,0.6,"Symbolic","frequency","symbolic_natural",22
5,0.5,0.7,0.3,0.7,0.42,"Symbolic","frequency","symbolic_natural",23
5,0.5,0.7,0.5,0.5833,0.4,"Symbolic","frequency","symbolic_natural",24
5,0.5,0.9,0.1,0.9,0.9,"Symbolic","frequency","symbolic_natural",25
5,0.5,0.9,0.3,0.75,0.43,"Symbolic","frequency","symbolic_natural",26
5,0.5,0.9,0.5,0.6429,0.56,"Symbolic","frequency","symbolic_natural",27
5,0.7,0.5,0.1,0.9211,0.76,"Symbolic","frequency","symbolic_natural",28
5,0.7,0.5,0.3,0.7955,0.24,"Symbolic","frequency","symbolic_natural",29
5,0.7,0.5,0.5,0.7,0.35,"Symbolic","frequency","symbolic_natural",30
5,0.7,0.7,0.1,0.9423,0.66,"Symbolic","frequency","symbolic_natural",31
5,0.7,0.7,0.3,0.8448,0.65,"Symbolic","frequency","symbolic_natural",32
5,0.7,0.7,0.5,0.7656,0.57,"Symbolic","frequency","symbolic_natural",33
5,0.7,0.9,0.1,0.9545,0.9,"Symbolic","frequency","symbolic_natural",34
5,0.7,0.9,0.3,0.875,0.67,"Symbolic","frequency","symbolic_natural",35
